DESCRIPCION,UNIDAD,PRECIO UNITARIO,CPC ELEMENTO,NP/ND/EP,VAE (%),RECURSO
"CODO 90°, ACERO INOX. 304, D=3/4"", 250 PSI, R-R",,0.0,,,0.0,MATERIAL
CODO DE BAJANTE 90°,,0.0,,,0.0,MATERIAL
CODO PVC D = 110MM X 90° -DESAGUE,,0.0,,,0.0,MATERIAL
CODO PVC D = 75MM X 90° - DESAGUE,,0.0,,,0.0,MATERIAL
"CODO PVC PRESION D = 1/2"" X 90",,0.0,,,0.0,MATERIAL
"CODO ROSCABLE ACERO ASTM A53 Ø 1 ½ """,,0.0,,,0.0,MATERIAL
"CODO ROSCABLE ACERO ASTM A53 Ø 2 ½""",,0.0,,,0.0,MATERIAL
COMPACTADOR MECANICO. 5 HP.,,0.0,,,0.0,EQUIPO
COMPACTADOR MECÁNICO,,0.0,,,0.0,EQUIPO
COMPACTADOR TIPO PLANCHA 10 HP,,0.0,,,0.0,EQUIPO
COMPRESOR,,0.0,,,0.0,EQUIPO
"COMPRESOR DE AIRE TIPO PISTÓN CAUDAL 13 M3/H, 7-9 BARES, 1.50 kW. (INCLUYE: VÁLVULA DE PURGADO, MANÓMETRO, REDUCTOR DE PRESIÓN, VÁLVULA DE SEGURIDAD Y PRESOSTATO DE PRESIÓN).",,0.0,,,0.0,MATERIAL
"COMPUERTA ACERO INOXIDABLE TIPO MURAL, AISI 304L DE VÁSTAGO ASCENDENTE PARA CANAL D = 1400 X 1800",,0.0,,,0.0,MATERIAL
CONCRETERA DE UN SACO,,4.58,,,0.0,EQUIPO
CONCRETERA O MEZCLADORA,,0.0,,,0.0,EQUIPO
CONDUCTOR # 1/0 AWG DESNUDO,,0.0,,,0.0,MATERIAL
"CONDUCTOR # 10 AWG ST-THHN, CONCÉNTRICO 4X10",,0.0,,,0.0,MATERIAL
"CONDUCTOR # 12 AWG T-THHN, CONCÉNTRICO 4X12",,0.0,,,0.0,MATERIAL
CONDUCTOR # 12 AWG THHN,,0.0,,,0.0,MATERIAL
"CONDUCTOR # 14 AWG ST-THHN, CONCÉNTRICO 3X14",,0.0,,,0.0,MATERIAL
CONDUCTOR # 14 AWG THHN,,0.0,,,0.0,MATERIAL
CONDUCTOR # 2 AWG HIPERFLEX,,0.0,,,0.0,MATERIAL
CONDUCTOR # 2/0 AWG HIPERFLEX,,0.0,,,0.0,MATERIAL
CONDUCTOR # 4/0 AWG HIPERFLEX,,0.0,,,0.0,MATERIAL
CONDUCTOR # 500 AWG HIPERFLEX,,0.0,,,0.0,MATERIAL
CONDUCTOR # 6 AWG TTU,,0.0,,,0.0,MATERIAL
CONDUCTOR CONCÉNTRICO THHN 3X10,,0.0,,,0.0,MATERIAL
"CONDUCTOR DE COBRE INDUSTRIAL ETHERNET, TRENZADO TIPO FTP CAT 6, INCLUYE CONECTORES RJ45",,0.0,,,0.0,MATERIAL
"CONECTOR TIPO EMT DE 1"".",,0.0,,,0.0,MATERIAL
"CONECTOR TIPO EMT DE 1/2"".",,0.0,,,0.0,MATERIAL
"CONECTOR TIPO EMT DE D= 3/4"".",,0.0,,,0.0,MATERIAL
"CONECTOR TIPO EMT DE D=1/2""",,0.0,,,0.0,MATERIAL
CONTACTOR 80 A C3 CON BOBINA 110 VAC,,0.0,,,0.0,MATERIAL
CONTACTOR 9 A C3 CON BOBINA 110 VAC,,0.0,,,0.0,MATERIAL
"CONTACTOR PARA CAPACITOR 10,4 KVAR BOBINA 110 V",,0.0,,,0.0,MATERIAL
CONTACTOR PARA CAPACITOR 17 KVAR BOBINA 110 V,,0.0,,,0.0,MATERIAL
"CONTACTOR PARA CAPACITOR 25,8 KVAR BOBINA 110 V",,0.0,,,0.0,MATERIAL
CONTENEDORES DE ALMACENAMIENTO DE DESECHOS PELIGROSOS 55 GL.,,0.0,,,0.0,MATERIAL
CONTROL POR PLC EN LUGAR DE RELEVADORES,,0.0,,,0.0,MATERIAL
CORTADORA DE ASFALTO/PAVIMENTO,,0.0,,,0.0,EQUIPO
CORTADORA DE PAVIMENTO,,0.0,,,0.0,EQUIPO
CPU redundante,,0.0,,,0.0,MATERIAL
"CRUZ ACERO INOXIDABLE, AISI 304L, DN = 150X250 MM, SCH 40, B-B",,0.0,,,0.0,MATERIAL
CUBIERTA DE GAVALUMEN 0.40 MM,,0.0,,,0.0,MATERIAL
"CUMBRERO DE GALVALUME E=0,40MM",,0.0,,,0.0,MATERIAL
Cabina de insonorización,,0.0,,,0.0,MATERIAL
Cable Conductor THHN Calibre #12 AWG,,0.0,,,0.0,MATERIAL
